case_id,paper_id,material_type,condition_original,target_formula_or_system,phase_or_prototype,space_group_symbol,space_group_number,pressure_GPa,temperature_K,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,atomic_positions_status,soc_or_relativistic,strain_or_doping,source_kind,evidence_location,evidence_snippet,confidence,mismatch_flags,recommended_next_step
lam038,938859326162862687,2d-layered,"C2CaC2 AA-stacking, unstrained",C2CaC2,"Ca-intercalated AA-stacking bilayer graphene, five-atom primitive cell",P6/mmm,191,0,0,2.605,2.605,vacuum 15 A; graphene interlayer distance 5.096 A in relaxed unstrained cell,90,90,120,"partial: AA stacking, hollow-site Ca, five-atom cell, and distances reported; fractional coordinates absent from LKM markdown",not reported,unstrained,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/938859326162862687.md:36,88-98,133,148-151,184","The C2CaC2 source reports AA stacking, P6/mmm No.191, a=2.605 A, 15 A vacuum, and EPC values for unstrained and compressed cells.",high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.
lam039,812489714396299266,heavy-soc,Mg2Ir3Si with SOC,Mg2Ir3Si,Mg2Cu3Si-type hexagonal Ir kagome network,P6_3/mmc,194,0,,5.30334,5.30334,7.38874,90,90,120,"full Wyckoff parameters from paper: Mg 4f z=0.568288; Ir 6h x=0.171265 y=0.342531; Si 2a (0,0,0)",with SOC / relativistic calculation,,repo_reference+LKM_graph+LKM_markdown,812489714396299266.md:105-143; structure_hints missing; no repo structure,"hexagonal P6_3/mmc, two formula units, calculated a=5.30334 c=7.38874 with Mg/Ir internal coordinates",high,repo_no_current_structure,build QE structure from paper Wyckoff/lattice; preserve SOC/no-SOC as calculation setting
lam040,812489714396299266,heavy-soc,Mg2Ir3Si without SOC,Mg2Ir3Si,Mg2Cu3Si-type hexagonal Ir kagome network,P6_3/mmc,194,0,,5.30334,5.30334,7.38874,90,90,120,"full Wyckoff parameters from paper: Mg 4f z=0.568288; Ir 6h x=0.171265 y=0.342531; Si 2a (0,0,0)",without SOC control,,repo_reference+LKM_graph+LKM_markdown,812489714396299266.md:105-143; structure_hints missing; no repo structure,"hexagonal P6_3/mmc, two formula units, calculated a=5.30334 c=7.38874 with Mg/Ir internal coordinates",high,repo_no_current_structure,build QE structure from paper Wyckoff/lattice; preserve SOC/no-SOC as calculation setting
lam041,812552562543689728,heavy-soc,ScRuSi,ScRuSi,TiNiSi-type orthorhombic,Pnma,62,0,,6.7007,4.1241,7.1064,90,90,90,"full 4c positions from paper: Sc/Ru/Si at (x,1/4,z) with x=0.00236/0.15788/0.29714 and z=0.68455/0.06209/0.38694",standard relativistic treatment not specified as SOC target,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,812552562543689728.md:87-170; graph conclusion_1; build_status.csv lam041; structures/RuSi.scf.in,graph/markdown give ScRuSi Pnma and lattice; build_status points lam041 to formula RuSi and RuSi.scf.in instead,high,condition_material_inconsistent;repo_current_structure_space_group_mismatch;repo_current_formula_mismatch,replace lam041 structure with ScRuSi Pnma target; do not reuse RuSi.scf.in
lam042,812552562543689728,heavy-soc,ZrRhSi,ZrRhSi,TiNiSi-type orthorhombic,Pnma,62,0,,6.5903,3.9466,7.4938,90,90,90,"full 4c positions from paper: Zr/Rh/Si at (x,1/4,z) with x=0.01898/0.14857/0.27719 and z=0.68273/0.06495/0.38285",standard relativistic treatment not specified as SOC target,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,812552562543689728.md:87-170; graph conclusion_1; structures/ZrRhSi__lam042.scf.in,ZrRhSi is Pnma TiNiSi-type; existing repo file is Pnma with permuted axes,high,,use existing repo structure if axis convention is normalized to target lattice
lam043,812601801109929984,heavy-soc,BaPt4Ge12 with SOI,BaPt4Ge12,filled skutterudite MPt4Ge12,Im-3,204,0,,8.6838,8.6838,8.6838,90,90,90,"full Wyckoff parameters from paper: M 2a (0,0,0), Pt 8c (1/4,1/4,1/4), Ge 24g (0,0.15387,0.36039)",with SOI / SOC included for heavy elements,,repo_reference+LKM_graph+LKM_markdown,812601801109929984.md:94-180; no repo structure-ready entry,filled skutterudite lattice fixed to crystallographic a=8.6838; Ge internal y=0.15387 z=0.36039,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data
lam044,812601801109929984,heavy-soc,SrPt4Ge12 with SOI,SrPt4Ge12,filled skutterudite MPt4Ge12,Im-3,204,0,,8.6509,8.6509,8.6509,90,90,90,"full Wyckoff parameters from paper: M 2a (0,0,0), Pt 8c (1/4,1/4,1/4), Ge 24g (0,0.14954,0.35514)",with SOI / SOC included for heavy elements,,repo_reference+LKM_graph+LKM_markdown,812601801109929984.md:94-180; no repo structure-ready entry,filled skutterudite lattice fixed to crystallographic a=8.6509; Ge internal y=0.14954 z=0.35514,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data
lam045,812601801109929984,heavy-soc,ThPt4Ge12 with SOI,ThPt4Ge12,filled skutterudite MPt4Ge12,Im-3,204,0,,8.5924,8.5924,8.5924,90,90,90,"full Wyckoff parameters from paper: M 2a (0,0,0), Pt 8c (1/4,1/4,1/4), Ge 24g (0,0.14935,0.35455)",with SOI / SOC included for heavy elements,,repo_reference+LKM_graph+LKM_markdown,812601801109929984.md:94-180; no repo structure-ready entry,filled skutterudite lattice fixed to crystallographic a=8.5924; Ge internal y=0.14935 z=0.35455,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data
lam046,812798558582341635,heavy-soc,LaOs4As12,LaOs4As12,filled skutterudite CoAs3-type,Im-3,204,0,,8.706,8.706,8.706,90,90,90,"full Wyckoff parameters from paper: Ln 2a, T 8c (1/4,1/4,1/4), X 24g (0,0.3489,0.1504)",heavy element scalar-relativistic/SOC relevance; paper condition not split by SOC,,repo_reference+LKM_graph+LKM_markdown,"812798558582341635.md:127,322-448; build_status for lam047 only",Table gives LaOs4As12 a=8.706 and pnictogen y=0.3489 z=0.1504,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance
lam047,812798558582341635,heavy-soc,LaOs4P12,LaOs4P12,filled skutterudite CoAs3-type,Im-3,204,0,,8.193,8.193,8.193,90,90,90,"full Wyckoff parameters from paper: Ln 2a, T 8c (1/4,1/4,1/4), X 24g (0,0.359,0.1436)",heavy element scalar-relativistic/SOC relevance; paper condition not split by SOC,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,"812798558582341635.md:127,322-448; build_status for lam047 only",Table gives LaOs4P12 a=8.193 and pnictogen y=0.359 z=0.1436,high,,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance
lam048,812798558582341635,heavy-soc,YOs4P12,YOs4P12,filled skutterudite CoAs3-type,Im-3,204,0,,8.136,8.136,8.136,90,90,90,"full Wyckoff parameters from paper: Ln 2a, T 8c (1/4,1/4,1/4), X 24g (0,0.357,0.1419)",heavy element scalar-relativistic/SOC relevance; paper condition not split by SOC,,repo_reference+LKM_graph+LKM_markdown,"812798558582341635.md:127,322-448; build_status for lam047 only",Table gives YOs4P12 a=8.136 and pnictogen y=0.357 z=0.1419,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance
lam049,812798558582341635,heavy-soc,YRu4P12,YRu4P12,filled skutterudite CoAs3-type,Im-3,204,0,,8.085,8.085,8.085,90,90,90,"full Wyckoff parameters from paper: Ln 2a, T 8c (1/4,1/4,1/4), X 24g (0,0.3575,0.1428)",heavy element scalar-relativistic/SOC relevance; paper condition not split by SOC,,repo_reference+LKM_graph+LKM_markdown,"812798558582341635.md:127,322-448; build_status for lam047 only",Table gives YRu4P12 a=8.085 and pnictogen y=0.3575 z=0.1428,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance
lam050,813094079012274176,heavy-soc,CaIr2 with SOC,CaIr2,cubic C15 Laves AB2,Fd-3m,227,0,,7.595,7.595,7.595,90,90,90,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",with SOC,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,813094079012274176.md:36-70; build_status.csv; structures/CaIr2.scf.in or CaRh2.scf.in,CaIr2 target is Fd-3m C15 Laves; Table I gives a=7.595 for CaIr2 with SOC,high,repo_current_structure_space_group_mismatch;repo_current_structure_wrong_C15_polytype,replace repo CaIr2 P6_3/mmc candidate with Fd-3m C15 Laves target
lam051,813094079012274176,heavy-soc,CaIr2 without SOC,CaIr2,cubic C15 Laves AB2,Fd-3m,227,0,,7.594,7.594,7.594,90,90,90,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",without SOC control,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,813094079012274176.md:36-70; build_status.csv; structures/CaIr2.scf.in or CaRh2.scf.in,CaIr2 target is Fd-3m C15 Laves; Table I gives a=7.594 for CaIr2 without SOC,high,repo_current_structure_space_group_mismatch;repo_current_structure_wrong_C15_polytype,replace repo CaIr2 P6_3/mmc candidate with Fd-3m C15 Laves target
lam052,813094079012274176,heavy-soc,CaRh2 with SOC,CaRh2,cubic C15 Laves AB2,Fd-3m,227,0,,7.585,7.585,7.585,90,90,90,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",with SOC,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,813094079012274176.md:36-70; build_status.csv; structures/CaIr2.scf.in or CaRh2.scf.in,CaRh2 target is Fd-3m C15 Laves; Table I gives a=7.585 for CaRh2 with SOC,high,,use existing Fd-3m repo structure after confirming lattice matches paper
lam053,813094079012274176,heavy-soc,CaRh2 without SOC,CaRh2,cubic C15 Laves AB2,Fd-3m,227,0,,7.581,7.581,7.581,90,90,90,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",without SOC control,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,813094079012274176.md:36-70; build_status.csv; structures/CaIr2.scf.in or CaRh2.scf.in,CaRh2 target is Fd-3m C15 Laves; Table I gives a=7.581 for CaRh2 without SOC,high,,use existing Fd-3m repo structure after confirming lattice matches paper
lam054,813152122194362369,heavy-soc,LaIr2Si2 HTP,LaIr2Si2,HTP CaBe2Ge2-type tetragonal,P4/nmm,129,0,,4.214,4.214,10.009,90,90,90,"full fractional positions from paper: La (1/4,1/4,0.744); Ir1 (3/4,1/4,0); Ir2 (1/4,1/4,0.374); Si1 (3/4,1/4,1/2); Si2 (1/4,1/4,0.129)",heavy Ir; SOC relevance not split in lambda_reference condition,,repo_reference+LKM_graph+LKM_markdown,"813152122194362369.md:17,24,31-60; no repo structure-ready entry",HTP LaIr2Si2 is P4/nmm CaBe2Ge2-type with optimized a=4.214 c=10.009,high,repo_no_current_structure,build P4/nmm CaBe2Ge2 HTP structure directly from paper positions
lam055,813152122194362369,heavy-soc,YIr2Si2 HTP,YIr2Si2,HTP CaBe2Ge2-type tetragonal,P4/nmm,129,0,,4.132,4.132,9.858,90,90,90,"full fractional positions from paper: Y (1/4,1/4,0.754); Ir1 (3/4,1/4,1/2); Ir2 (1/4,1/4,0.128); Si1 (3/4,1/4,0); Si2 (1/4,1/4,0.369)",heavy Ir; SOC relevance not split in lambda_reference condition,,repo_reference+LKM_graph+LKM_markdown,"813152122194362369.md:17,24,31-60; no repo structure-ready entry",HTP YIr2Si2 is P4/nmm CaBe2Ge2-type with optimized a=4.132 c=9.858,high,repo_no_current_structure,build P4/nmm CaBe2Ge2 HTP structure directly from paper positions
lam056,813228976360128513,heavy-soc,LaNiBN,LaNiBN,tetragonal LaM BN 1111-type,P4/nmm,129,0,,3.73,3.73,7.64,90,90,90,"full Wyckoff/z data from paper: M 2b (3/4,1/4,1/2); La/B/N on 2c; La z=0.1770, B z=0.3545, N z=0.1636",heavy Pt/Ni comparison; SOC relevance not split in condition,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,813228976360128513.md:32-42; build_status for lam056 only,LaNiBN P4/nmm with lattice a=3.73 c=7.64 and optimized internal z values,high,repo_current_lattice_differs_from_paper_experimental_lattice,use P4/nmm repo candidate only after resetting lattice/internal z to paper target if benchmark requires literature structure
lam057,813228976360128513,heavy-soc,LaPtBN,LaPtBN,tetragonal LaM BN 1111-type,P4/nmm,129,0,,3.824,3.824,7.8649,90,90,90,"full Wyckoff/z data from paper: M 2b (3/4,1/4,1/2); La/B/N on 2c; La z=0.1666, B z=0.3366, N z=0.1527",heavy Pt/Ni comparison; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown,813228976360128513.md:32-42; build_status for lam056 only,LaPtBN P4/nmm with lattice a=3.824 c=7.8649 and optimized internal z values,high,repo_no_current_structure,build missing LaPtBN P4/nmm structure from paper lattice and z coordinates
lam058,813231154529304578,heavy-soc,SrPt3P,SrPt3P,antipolar antiperovskite tetragonal,P4/nmm,129,0,,,,,90,90,90,"prototype only in LKM markdown: Pt(I) 4e in-plane, Pt(II) 2c out-of-plane; no lattice constants or fractional coordinates found",heavy Pt; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown_no_lattice,"813231154529304578.md:23,66; no repo structure-ready entry",paper describes P4/nmm antipolar antiperovskite topology but markdown/graph do not expose lattice/coords,low,LKM_has_lambda_but_no_structure;repo_no_current_structure,manual_required: fetch crystallographic source from original paper/supporting data or validated database candidate
lam059,814537145015336960,heavy-soc,(single),SrAuSi3,BaNiSn3-type noncentrosymmetric tetragonal,I4mm,107,0,,4.475,4.475,10.136,90,90,90,"full Wyckoff parameters from paper: Sr 2a (0,0,0), Au 2a z=0.632, Si1 2a z=0.378, Si2 4b z=0.257",Au heavy element; SOC relevance not split in condition,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,"814537145015336960.md:81-89,94-185; structures/SrAuSi3__lam059.scf.in",paper has SrAuSi3 I4mm and SrAu2Si2 I4/mmm; lam059 target follows material/title SrAuSi3 with a=4.475 c=10.136,high,condition_ambiguous_single_in_multi_system_paper,keep target as SrAuSi3 I4mm; do not substitute SrAu2Si2 I4/mmm from same paper
lam060,814602831179808769,heavy-soc,LaPt2B2C,LaPt2B2C,LuNi2B2C-type body-centered tetragonal borocarbide,I4/mmm,139,0,,3.904,3.904,10.773,90,90,90,"full Wyckoff/z data from paper: R 2a, M 4d, B 4e z=0.362, C 2b",heavy transition metal; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown,"814602831179808769.md:54,81-83; build_status for lam061 only",Table I present GGA gives LaPt2B2C a=3.904 c=10.773 zB=0.362,high,repo_no_current_structure,build missing I4/mmm structure from table
lam061,814602831179808769,heavy-soc,LuNi2B2C,LuNi2B2C,LuNi2B2C-type body-centered tetragonal borocarbide,I4/mmm,139,0,,3.508,3.508,10.597,90,90,90,"full Wyckoff/z data from paper: R 2a, M 4d, B 4e z=0.36, C 2b",heavy transition metal; SOC relevance not split in condition,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,"814602831179808769.md:54,81-83; build_status for lam061 only",Table I present GGA gives LuNi2B2C a=3.508 c=10.597 zB=0.36,high,,use existing I4/mmm candidate after checking zB and cell convention
lam062,814602831179808769,heavy-soc,YPd2B2C,YPd2B2C,LuNi2B2C-type body-centered tetragonal borocarbide,I4/mmm,139,0,,3.807,3.807,10.745,90,90,90,"full Wyckoff/z data from paper: R 2a, M 4d, B 4e z=0.363, C 2b",heavy transition metal; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown,"814602831179808769.md:54,81-83; build_status for lam061 only",Table I present GGA gives YPd2B2C a=3.807 c=10.745 zB=0.363,high,repo_no_current_structure,build missing I4/mmm structure from table
lam063,814602831179808769,heavy-soc,YPt2B2C,YPt2B2C,LuNi2B2C-type body-centered tetragonal borocarbide,I4/mmm,139,0,,3.809,3.809,10.818,90,90,90,"full Wyckoff/z data from paper: R 2a, M 4d, B 4e z=0.364, C 2b",heavy transition metal; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown,"814602831179808769.md:54,81-83; build_status for lam061 only",Table I present GGA gives YPt2B2C a=3.809 c=10.818 zB=0.364,high,repo_no_current_structure,build missing I4/mmm structure from table
lam064,814617345912733702,heavy-soc,Ca3Ir4Ge4,Ca3Ir4Ge4,Na3Pt4Ge4-type body-centered cubic noncentrosymmetric,I-43m,217,0,,7.651,7.651,7.651,90,90,90,"full Wyckoff parameters from paper: Ca 6a (0,1/2,1/2), Ir 8c x=0.634, Ge 8c x=0.813","paper calculation appears without explicit SOC; Ir heavy, SOC should be tested if benchmark requires heavy-SOC consistency",,repo_reference+LKM_graph+LKM_markdown,814617345912733702.md:90-132; no repo structure-ready entry,"Ca3Ir4Ge4 is I-43m with calculated a=7.651, xIr=0.634, xGe=0.813",high,repo_no_current_structure,build I-43m target from paper; decide whether benchmark run must include SOC separately from literature lambda
lam065,814721288294629376,heavy-soc,SrPtAs,SrPtAs,KZnAs-type hexagonal layered pnictide,P6/mmm,191,0,,4.307,4.307,9.063,90,90,120,"full Wyckoff parameters from paper: Sr 2a (0,0,0), Pt 2c (1/3,2/3,1/4), As 2d (2/3,1/3,1/4)",Pt/As heavy; SOC relevance not split in condition,,repo_reference+LKM_graph+LKM_markdown,814721288294629376.md:66-116; no repo structure-ready entry,P6/mmm KZnAs-type with this-work lattice a=4.307 c=9.063,high,repo_no_current_structure,build P6/mmm target from paper Wyckoff/lattice
lam066,817398434037235713,heavy-soc,Bi4I4 epsilon phase at 15 GPa,Bi4I4 epsilon,high-pressure epsilon phase,P31c,159,15,,9.249,9.249,6.334,90,90,120,"full coordinates available only for 10 GPa table: Bi1 2a z=0.8812; Bi2 6c (0.9673,0.6650,0.7946); I1 2a (1/3,2/3,0.1059); I2 6c (0.8971,0.3150,0.1222)",Bi/I heavy; SOC likely essential; condition is pressure phase,,repo_reference+LKM_graph+LKM_markdown_pressure_table_mismatch,"817398434037235713.md:13,33,45,51,57,66-278,310-318; no repo structure-ready entry",epsilon P31c stable 8.4-16.6 GPa; structure table is at 10 GPa while lambda_reference condition is 15 GPa,medium,structure_table_pressure_10GPa_differs_from_condition_15GPa;repo_no_current_structure,manual_required: relax or obtain epsilon Bi4I4 at 15 GPa before DFPT target run
lam067,817398434037235713,heavy-soc,Bi4I4 zeta phase at 18 GPa,Bi4I4 zeta,high-pressure zeta phase,P4/mmm,123,18,,3.57,3.57,14.852,90,90,90,"full coordinates available only for 30 GPa table: Bi1 1c, Bi2 1d, Bi3 2g z=0.3789, I1 2h z=0.2548, I2 2g z=0.8806",Bi/I heavy; SOC likely essential; condition is pressure phase,,repo_reference+LKM_graph+LKM_markdown_pressure_table_mismatch,"817398434037235713.md:13,33,45,51,57,66-278,310-318; no repo structure-ready entry",zeta P4/mmm stable above 16.6 GPa; structure table is at 30 GPa while lambda_reference condition is 18 GPa,medium,structure_table_pressure_30GPa_differs_from_condition_18GPa;repo_no_current_structure,manual_required: relax or obtain zeta Bi4I4 at 18 GPa before DFPT target run
lam068,867747199868470067,heavy-soc,OsN2 hole-doped 0.5 holes/cell,OsN2 / Os0.75Re0.25N2 virtual hole-doped target,marcasite-like hole-doped dinitride,Pnnm,58,0,,,,,90,90,90,prototype/Wyckoff only in markdown: Os 2a and N 4g; no lattice constants or fractional N coordinate found in LKM markdown,5d Os heavy; spin-orbit splitting discussed; lambda target is hole-doped,"0.5 holes per unit cell, e.g. Os0.75Re0.25N2 virtual alloy",repo_reference+repo_current_structure+LKM_graph+LKM_markdown_no_lattice,"867747199868470067.md:24,39,83-113; build_status.csv; structures/OsN2.scf.in",paper target is Pnnm marcasite-like hole-doped OsN2; repo OpenLAM structure is undoped P2_1/c OsN2,low,LKM_has_lambda_but_no_structure;repo_current_structure_space_group_mismatch;doping_not_encoded_in_repo_structure,manual_required: obtain Ref.16 Pnnm structure and define doping model/supercell or virtual-charge treatment
lam069,867747957653373759,heavy-soc,LaO0.5F0.5BiS2,LaO0.5F0.5BiS2,layered BiS2 1111-type,P4/nmm,129,0,,4.0781,4.0781,13.4566,90,90,90,"full SOC supplement positions: La z=0.1051, Bi z=0.6163, S1 z=0.3831, S2 z=0.8149, O/F at 2a z=0; La/S/Bi at 2b, O/F at 2a",SOC supplement available; main paper says SOC has small effect,ordered F substitution x=0.5 on O site,repo_reference+LKM_graph+LKM_markdown,"867747957653373759.md:36-53,124-235; no repo structure-ready entry",P4/nmm with SOC-relaxed a=4.0781 c=13.4566 and O/F half substitution,high,repo_no_current_structure,build ordered P4/nmm LaO0.5F0.5BiS2 target; keep doping/order explicit
lam070,867756414980849698,heavy-soc,Zr2Ir with SOC,Zr2Ir,Al2Zr-type body-centered tetragonal,I4/mcm,140,0,,6.541,6.541,5.748,90,90,90,lattice and prototype from paper; fractional atomic positions not exposed in LKM markdown; repo OpenLAM I4/mcm structure is a candidate for positions,with SOC,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown_lattice_only,867756414980849698.md:35-95; build_status.csv; structures/Zr2Ir.scf.in,paper gives I4/mcm Zr2Ir with a=6.541 c=5.748; repo candidate has matching space group but positions need provenance check,medium,LKM_has_lambda_but_no_atomic_positions,verify repo Zr2Ir fractional positions against crystallographic source or OpenLAM provenance before final benchmark
lam071,867756414980849698,heavy-soc,Zr2Ir without SOC,Zr2Ir,Al2Zr-type body-centered tetragonal,I4/mcm,140,0,,6.541,6.541,5.748,90,90,90,lattice and prototype from paper; fractional atomic positions not exposed in LKM markdown; repo OpenLAM I4/mcm structure is a candidate for positions,without SOC control,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown_lattice_only,867756414980849698.md:35-95; build_status.csv; structures/Zr2Ir.scf.in,paper gives I4/mcm Zr2Ir with a=6.541 c=5.748; repo candidate has matching space group but positions need provenance check,medium,LKM_has_lambda_but_no_atomic_positions,verify repo Zr2Ir fractional positions against crystallographic source or OpenLAM provenance before final benchmark
lam072,867764510792876439,heavy-soc,Bi3Ni SOC DOS,Bi3Ni,orthorhombic intermetallic,Pnma,62,0,300,8.878,4.102,11.479,90,90,90,"full fractional positions from table: Bi1 (0.293,1/4,0.890), Bi2 (0.378,1/4,0.588), Bi3 (0.407,1/4,0.177), Ni (0.069,1/4,0.513)",SOC DOS case,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,"867764510792876439.md:15,72,113-153; structures/Bi3Ni.scf.in",Bi3Ni Pnma table gives a=8.878 b=4.102 c=11.479 and full 4c coordinates; lambda is DOS-derived not direct DFPT,high,lambda_value_derived_from_DOS_not_direct_DFPT,use Pnma table structure; normalize repo axis convention and note lambda reference is DOS-derived
lam073,867764510792876439,heavy-soc,Bi3Ni non-SOC DOS,Bi3Ni,orthorhombic intermetallic,Pnma,62,0,300,8.878,4.102,11.479,90,90,90,"full fractional positions from table: Bi1 (0.293,1/4,0.890), Bi2 (0.378,1/4,0.588), Bi3 (0.407,1/4,0.177), Ni (0.069,1/4,0.513)",non-SOC DOS case,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown,"867764510792876439.md:15,72,113-153; structures/Bi3Ni.scf.in",Bi3Ni Pnma table gives a=8.878 b=4.102 c=11.479 and full 4c coordinates; lambda is DOS-derived not direct DFPT,high,lambda_value_derived_from_DOS_not_direct_DFPT,use Pnma table structure; normalize repo axis convention and note lambda reference is DOS-derived
lam074,884073293311640172,heavy-soc,Nb4CoSi,Nb4CoSi,"X4CoSi tetragonal silicide, two formula units per cell",P4/mcc,124,0,,6.21,6.21,5.02,90,90,90,lattice/prototype from paper; fractional coordinates not in LKM markdown; repo OpenLAM P4/mcc structure is candidate for positions,SOC checked in paper; SOC does not affect optimized lattice within about 0.01 A,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown_lattice_only,884073293311640172.md:39-76; build_status.csv; structures/Nb4CoSi.scf.in,paper gives Nb4CoSi P4/mcc target lattice a=6.21 c=5.02; SOC has negligible lattice effect,medium,LKM_has_lambda_but_no_atomic_positions,verify repo P4/mcc fractional coordinates against crystallographic source/OpenLAM before final benchmark
lam075,884073293311640172,heavy-soc,Ta4CoSi,Ta4CoSi,"X4CoSi tetragonal silicide, two formula units per cell",P4/mcc,124,0,,6.21,6.21,4.99,90,90,90,lattice/prototype from paper; fractional coordinates not in LKM markdown; repo OpenLAM P4/mcc structure is candidate for positions,SOC checked in paper; SOC does not affect optimized lattice within about 0.01 A,,repo_reference+repo_current_structure+LKM_graph+LKM_markdown_lattice_only,884073293311640172.md:39-76; build_status.csv; structures/Ta4CoSi.scf.in,paper gives Ta4CoSi P4/mcc target lattice a=6.21 c=4.99; SOC has negligible lattice effect,medium,LKM_has_lambda_but_no_atomic_positions,verify repo P4/mcc fractional coordinates against crystallographic source/OpenLAM before final benchmark
lam076,923643931596423577,heavy-soc,TlTaSe2,TlTaSe2,non-centrosymmetric layered transition-metal dichalcogenide,P-6m2,187,0,,,,,90,90,120,"prototype only in LKM markdown: unit cell has 1 Tl, 1 Ta, 2 Se; no lattice constants or fractional coordinates found",Tl/Ta heavy; SOC relevance likely important but structure data absent in LKM,,repo_reference+LKM_graph+LKM_markdown_no_lattice,923643931596423577.md:66-68; no repo structure-ready entry,markdown identifies P-6m2 TlTaSe2 but lacks lattice constants and atomic coordinates,low,LKM_has_lambda_but_no_structure;repo_no_current_structure,manual_required: obtain crystallographic structure from paper/supporting data or validated database candidate; do not infer ground truth from lowest-energy candidate
lam077,1068413857002684417,hydride,Ba2RhH6 at 20 GPa,Ba2RhH6,K2PtCl6-type / cubic antifluorite X2MH6; fcc MH6 octahedra; X at cation sites,Fm-3m,225,20,0,,,,90,90,90,"proto-only: Fm-3m motif; repo hint gives M(0,0,0), X(1/4,1/4,1/4), H about (0.24,0,0); exact lattice not in LKM markdown",not reported; no SOC target,"site substitution within X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir series",repo_hint+lkm_graph+lkm_markdown,/private/tmp/dfpt_lkm_targets/markdown/1068413857002684417.md:35,X2MH6 described as face-centred cubic with MH6 octahedral structural units; all target rows at 20 GPa.,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.
lam078,1068413857002684417,hydride,Ca2CoH6 at 20 GPa,Ca2CoH6,K2PtCl6-type / cubic antifluorite X2MH6; fcc MH6 octahedra; X at cation sites,Fm-3m,225,20,0,,,,90,90,90,"proto-only: Fm-3m motif; repo hint gives M(0,0,0), X(1/4,1/4,1/4), H about (0.24,0,0); exact lattice not in LKM markdown",not reported; no SOC target,"site substitution within X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir series",repo_hint+lkm_graph+lkm_markdown,/private/tmp/dfpt_lkm_targets/markdown/1068413857002684417.md:35,X2MH6 described as face-centred cubic with MH6 octahedral structural units; all target rows at 20 GPa.,medium,repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.
