case_id,formula,material_type,condition,pressure_GPa,space_group,prototype,a,b,c,structure_completeness,target_confidence,mismatch_flags,recommended_next_step,lambda_ref
lam095,H,hydride,"I4_1/amd H, 802 GPa, mu*=0.10",802.0,I4_1/amd (141),Cs-IV (beta-Sn / I4_1/amd-type) monatomic metallic hydrogen,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.68
lam096,FC34,hydride,FC34 (fluorine in C28 cage),0.0,Fd-3m (227),"type-II (clathrate-II) carbon clathrate, fcc; F endohedral in larger C28 cage",,,,proto-only,medium,material_type_hydride_but_no_hydrogen|repo_structure_absent,Treat as non-hydride data issue or keep as carbon-clathrate benchmark with full C34 coordinates from source/supplement.,0.85
lam097,S0.5P0.5H3,hydride,"S0.5P0.5H3, Imma, 200 GPa",200,Imma,orthorhombic (H3S-derived parent lattice),2.902,4.153,8.304,lattice+proto,high,repo_structure_absent,Build from Table 1 coordinates; verify ordering/symmetry before DFPT.,0.94
lam098,S0.75P0.25H3,hydride,"S0.75P0.25H3, Immm, 200 GPa",200,Immm,orthorhombic (H3S-derived parent lattice),8.557,2.964,4.232,lattice+proto,high,repo_structure_absent,Build from Table 1 coordinates; verify ordering/symmetry before DFPT.,1.31
lam099,Mg0.5Ca0.5H6,hydride,(single),200,Im-3m,sodalite-like clathrate hexahydride (H24 cage; bcc metal site),3.3215,3.3215,3.3215,lattice+proto,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.53
lam100,FeH5,hydride,"FeH5, I4/mmm, 130 GPa",130.0,I4/mmm (139),tetragonal FeH5 with puckered hydrogen honeycomb layers and Fe/H slabs,,,,partial: H Wyckoff positions 4c/4e/8g/4c reported; lattice constants and Fe site not in LKM markdown,medium,repo_current_structure_sg_mismatch:Cmmm->target I4/mmm|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.13
lam101,FeH5,hydride,"FeH5, I4/mmm, 200 GPa",200.0,I4/mmm (139),tetragonal FeH5 with puckered hydrogen honeycomb layers and Fe/H slabs,,,,partial: H Wyckoff positions 4c/4e/8g/4c reported; lattice constants and Fe site not in LKM markdown,medium,repo_current_structure_sg_mismatch:Cmmm->target I4/mmm|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.1
lam102,GeH3,hydride,"A15 GeH3, r_s=1.52 (~180 GPa)",~180,Pm-3n (223),A15 GeH3; simple cubic Ge bcc sublattice plus orthogonal H chains,,,,proto-only: A15 prototype described; lattice/coordinates not numerically listed in LKM markdown,medium,repo_current_structure_sg_mismatch:Pm->target Pm-3n|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.82
lam103,GeH3,hydride,"Cccm GeH3, r_s=1.52 (~180 GPa)",~180,Cccm (66),Cccm GeH3 distortion of A15,4.718,4.292,3.014,"full: Ge 4e (0.25,0.25,0.0); H 4b (0,0.5,0.25), H 8l (0.1043,0.8726,0.0)",high,repo_current_structure_sg_mismatch:Pm->target Cccm|repo_structure_is_openlam_candidate_not_ground_truth,Build directly from Fig. 1 coordinates; verify conventional setting.,1.6
lam105,AlH3,hydride,AlH3 Pm-3n 73 GPa,73.0,Pm-3n (223),cubic metallic A15-like AlH3,,,,"partial: Al 2a (0,0,0), H 6c (0.25,0,0.5); exact a at 73 GPa not in LKM markdown (table gives a=3.1685 at 80 GPa)",medium,repo_current_structure_sg_mismatch:Cmcm->target Pm-3n|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.591
lam106,SrAu2Si2,hydride,SrAu2Si2 (I4/mmm),,,no valid hydride target for this case_id as written,,,,none: condition is not in the cited H5S2 paper graph/markdown,low,condition_material_description_inconsistent|same_paper_id_condition_suspected_cross_family|condition_is_not_hydride,Remove from hydride set or repair paper_id/material_type/condition using the original SrAu-Si source.,0.42
lam107,SrAuSi3,hydride,SrAuSi3 (I4mm),,,no valid hydride target for this case_id as written,,,,none: condition is not in the cited H5S2 paper graph/markdown,low,condition_material_description_inconsistent|same_paper_id_condition_suspected_cross_family|condition_is_not_hydride,Remove from hydride set or repair paper_id/material_type/condition using the original SrAu-Si source.,0.47
lam108,H4Te,hydride,"H4Te, 200 GPa",200,P6/mmm,TeH12 H-sharing polyhedra (quasimolecular H2 units),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.46
lam109,SnH4,hydride,"SnH4 C2/m, 500 GPa",500.0,C2/m (12),layered C2/m SnH4 high-pressure phase,,,,"target-pressure incomplete: paper gives C2/m coordinates at 400 GPa (a=4.746,b=2.656,c=6.580,beta=131.076); benchmark condition is 500 GPa",medium,repo_current_structure_sg_mismatch:Cmcm->target C2/m|repo_structure_is_openlam_candidate_not_ground_truth,Start from the cited C2/m structure and relax at 500 GPa; do not use OpenLAM Cmcm as target.,1.02
lam110,BeH2,hydride,"BeH2 Cmcm 250 GPa, mu*=0.10",250.0,Cmcm (63),orthorhombic Cmcm BeH2 metallic phase,1.796,5.503,2.84,"full: Be 4c (0,0.139,0.75), H1 4b (0,0.5,1), H2 4c (0,0.819,0.75)",high,repo_current_structure_sg_mismatch:Ibam->target Cmcm|repo_structure_is_openlam_candidate_not_ground_truth,Build from Table I coordinates; verify QE conventional cell.,0.63
lam111,BeH2,hydride,"BeH2 P4/nmm 400 GPa, mu*=0.10",400.0,P4/nmm (129),tetragonal P4/nmm BeH2 metallic phase,1.906,1.906,3.24,"full: Be 2c (0.5,0,0.707), H1 2a (0,0,0), H2 2c (0.5,0,0.327)",high,repo_current_structure_sg_mismatch:Ibam->target P4/nmm|repo_structure_is_openlam_candidate_not_ground_truth,Build from Table I coordinates; verify QE conventional cell.,0.65
lam112,CS2H10,hydride,"Cmc2_1, 150 GPa, mu*=0.10 (Allen-Dynes)",150,Cmc2_1,host-guest (CH4 in H3S-like Im-3m/R3m host sublattice),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.01
lam113,CS2H10,hydride,"P-3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",100.0,P-3m1 (164),CS2H10 phase composed of CS2 pleated hexagonal framework and hydrogen atoms,,,,"proto-only: structure parameters listed in supplemental Table S1, not present in LKM markdown",medium,condition_lacks_formula_repo_parser_misread_as_P|repo_current_structure_sg_mismatch:Cmce->target P-3m1|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.63
lam114,P3,hydride,"P3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",100,P3m1,CH4 + SH3 units arranged analogous to R3m H3S,,,,proto-only,medium,condition_lacks_formula_repo_parser_misread_as_P3|repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.21
lam115,P3,hydride,"P3m1, 50 GPa, mu*=0.10 (Allen-Dynes)",50,P3m1,CH4 + SH3 units arranged analogous to R3m H3S,,,,proto-only,medium,condition_lacks_formula_repo_parser_misread_as_P3|repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.51
lam116,CS2H10,hydride,"Pm, 200 GPa, mu*=0.10 (Allen-Dynes)",200,Pm,"host-guest (CH4 in H3S-like host sublattice), monoclinic",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.69
lam117,CaAlSiF,hydride,CaAlSi AF-like stacking,,,,,,,none,low,condition_material_description_inconsistent|material_type_hydride_but_no_hydrogen|same_paper_id_condition_suspected_cross_family|repo_structure_absent,Remove from hydride set or repair condition/paper_id from the intended CaAlSi source.,0.8
lam118,C2KYH8,hydride,"C2/m KYH8, 200 GPa",200,C2/m,monoclinic KYH8 with H3 molecular-like units and Y-H chain motif (no named prototype),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.478
lam119,C2KYH8,hydride,"C2/m KYH8, 250 GPa",250,C2/m,monoclinic KYH8 with H3 molecular-like units and Y-H chain motif (no named prototype),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.214
lam120,C2KYH8,hydride,"C2/m KYH8, 300 GPa",300,C2/m,"monoclinic KYH8 with H3 molecular-like units and Y-H chain motif (no named prototype). At 300 GPa reported H-H distances: H1-H2=0.921 A, H3-H5=0.819 A; Y-H7=1.773 A (bond distances only, not lattice/Wyckoff)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.09
lam121,C2SnH12,hydride,"C2/m-SnH12, 250 GPa",250,C2/m,monoclinic SnH12 with linear H4- blocks (no named prototype),5.191,3.065,7.388,lattice+proto,high,repo_structure_absent,Build from Table 1 coordinates; verify monoclinic setting.,1.25
lam122,C2SnH14,hydride,"C2/m-SnH14, 300 GPa",300,C2/m,monoclinic SnH14 (no named prototype),7.129,2.73,3.673,lattice+proto,high,repo_structure_absent,Build from Table 1 coordinates; verify monoclinic setting.,1.187
lam123,ISnH8,hydride,"I-4m2-SnH8, 220 GPa",220,I-4m2,tetragonal SnH8 with bent H3- units and H2 semi-molecular units (no named prototype),3.076,3.076,5.523,full,high,repo_structure_absent,Build from Table 1 coordinates; verify I-4m2 setting.,1.188
lam124,I4SnH4,hydride,"I4/mmm-SnH4, 220 GPa",220,I4/mmm,,,,,none,low,repo_structure_absent,Obtain supplemental/USPEX I4/mmm-SnH4 structure before benchmark; do not substitute unrelated SnH4 C2/m/OpenLAM structure.,1.18
lam125,LaBH8,hydride,"Fm-3m LaBH8, 100 GPa",100,Fm-3m,B-centered BH8 covalent units in interstitial sites of fcc La lattice; La+8H sublattice geometry resembles LaH10 clathrate-like / H3S coordination,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.11
lam126,LaBH8,hydride,"Fm-3m LaBH8, 200 GPa",200,Fm-3m,B-centered BH8 covalent units in interstitial sites of fcc La lattice; La+8H sublattice geometry resembles LaH10 clathrate-like / H3S coordination,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.72
lam127,LaBH8,hydride,"Fm-3m LaBH8, 50 GPa (Allen-Dynes)",50,Fm-3m,B-centered BH8 covalent units in interstitial sites of fcc La lattice; La+8H sublattice geometry resembles LaH10 clathrate-like / H3S coordination,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.29
lam128,LaBH8,hydride,"Fm-3m LaBH8, 55 GPa (Allen-Dynes)",55,Fm-3m,B-centered BH8 covalent units in interstitial sites of fcc La lattice; La+8H sublattice geometry resembles LaH10 clathrate-like / H3S coordination,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.97
lam129,PLaBH7,hydride,"P-3m1 LaBH7, 110 GPa",110,P-3m1,trigonal LaBH7 with edge-connected BH6 units linked by H-H bridges (no named prototype),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.46
lam130,Nb13Sn3 / Nb0.8125Sn0.1875,intermetallic,"A15 Nb1-bSnb, Sn=0.1875 (one antisite, 16-atom)",,,A15 Nb3Sn-derived Nb1-bSnb; Sn antisite/off-stoichiometric supercell,5.3,5.31,5.29,supercell_ordering_missing,medium,repo_current_formula_mismatch:Nb3Sn->Nb13Sn3;repo_current_structure_uses_stoichiometric_Nb3Sn_not_antisite_supercell,Recover or construct the exact antisite supercell from the paper before DFPT.,0.92
lam131,Nb25Sn7 / Nb0.78125Sn0.21875,intermetallic,"A15 Nb1-bSnb, Sn=0.21875 (one antisite, 32-atom)",,,A15 Nb3Sn-derived Nb1-bSnb; Sn antisite/off-stoichiometric supercell,5.3,5.31,5.31,supercell_ordering_missing,medium,repo_current_formula_mismatch:Nb3Sn->Nb25Sn7;repo_current_structure_uses_stoichiometric_Nb3Sn_not_antisite_supercell,Recover or construct the exact antisite supercell from the paper before DFPT.,1.22
lam135,V3Si,intermetallic,(single),,Pm-3n (223),A15 V3Si,4.705,4.705,4.705,full prototype from current SCF,medium,repo_structure_is_database_candidate_not_ground_truth,Confirm the paper lattice value; current A15 prototype is only a candidate lattice match.,1.28
lam139,NaBC (requested) / paper is Mo3Sb7,intermetallic,(single),,,,,,,none,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;lkm_has_lambda_but_no_structure;manual_required,Resolve paper_id before building; do not use Mo3Sb7 evidence for NaBC.,0.73
lam142,LiB,intermetallic,"MS1-LiB (stoichiometric), mu*=0.10",0.0,,MS1-LiB (layered MgB2-derived; B honeycomb + Li intercalant); rhombohedral,5.92,5.92,5.92,lattice+proto,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_absent,Need original table/figure for atom coordinates before production DFPT.,0.62
lam145,Te,intermetallic,"BCC tellurium, V/V0=0.90 (~54 GPa)",53.99,Im-3m (229),body-centered-cubic tellurium under compression,,,,prototype_only_lattice_missing,medium,repo_current_formula_mismatch:Li->Te;lkm_has_lambda_but_no_structure,Derive bcc lattice from reported V/V0 or recover original volume table; replace Li candidate.,0.698
lam146,Te,intermetallic,"BCC tellurium, V/V0=0.95 (~46 GPa)",45.98,Im-3m (229),body-centered-cubic tellurium under compression,,,,prototype_only_lattice_missing,medium,repo_current_formula_mismatch:Li->Te;lkm_has_lambda_but_no_structure,Derive bcc lattice from reported V/V0 or recover original volume table; replace Li candidate.,0.822
lam147,Te,intermetallic,"BCC tellurium, V/V0=1.0 (~38 GPa)",37.98,Im-3m (229),body-centered-cubic tellurium under compression,,,,prototype_only_lattice_missing,medium,repo_current_formula_mismatch:Li->Te;lkm_has_lambda_but_no_structure,Derive bcc lattice from reported V/V0 or recover original volume table; replace Li candidate.,0.979
lam158,kappa-(BEDT-TTF)2I3 / beta*-(BEDT-TTF)2I3,intermetallic,(single),,P2_1 (4),organic molecular BEDT-TTF superconductor; low-temperature kappa phase,,,,manual_required_molecular_structure,low,condition_material_description_inconsistent;repo_current_formula_mismatch:BF->BEDT-TTF;manual_required,Fetch crystallographic CIF for the exact BEDT-TTF phase; do not use BF.scf.in.,0.74
lam160,YC2,intermetallic,"YC2 (CaC2-type bct), 20 GPa",20.0,I4/mmm (139),CaC2-type body-centered-tetragonal YC2 under compression,,,,prototype_only_pressure_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Recover 20 GPa relaxed a,c,u from original paper or rerun pressure relaxation constrained to I4/mmm.",0.45
lam169,LiB0.9Be0.1C,intermetallic,(single),0,P6_3/mmc,"LiBC layered (MgB2-like honeycomb B-C net), Be on B site (VCA)",,,,proto-only,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_absent,Build ordered/VCA LiBC-derived cell only after choosing substitution treatment.,0.75
lam175,RaSi2,intermetallic,RaSi2 (z_tuned=0.544),0,P-3m1,"EuGe2-type (trigonal, AlB2-derived)",4.07,4.07,5.09,full,medium,repo_structure_absent,Use cited P-3m1 XSi2 lattice/prototype.,0.93
lam178,K2Cr3As3,intermetallic,(single),0,P-6m2,K2Cr3As3-type (noncentrosymmetric quasi-1D),9.9832,9.9832,4.2304,lattice+proto,medium,repo_structure_absent;lkm_has_lambda_but_incomplete_structure,Recover exact internal coordinates before production DFPT.,3
lam179,P1H5S2,intermetallic,"P1 H5S2, 112 GPa",112,P1,mixed H2S-H3S motif (triclinic),2.7127,2.7119,8.6105,full,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;manual_required,Resolve correct hydride paper_id or drop these rows from intermetallic benchmark; do not use SnAs paper as source.,1.186
lam180,P1H5S2,intermetallic,"P1 H5S2, 120 GPa",120,P1,mixed H2S-H3S motif (triclinic),,,,proto-only,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;manual_required,Resolve correct hydride paper_id or drop these rows from intermetallic benchmark; do not use SnAs paper as source.,1.239
lam181,P1H5S2,intermetallic,"P1 H5S2, 130 GPa",130,P1,mixed H2S-H3S motif (triclinic),,,,proto-only,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;manual_required,Resolve correct hydride paper_id or drop these rows from intermetallic benchmark; do not use SnAs paper as source.,1.242
lam191,CaAlSi,intermetallic,"CaAlSi 1H, 20 kbar",2.0,P-6m2 (187),nH-CaAlSi 1H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 1H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.7
lam192,CaAlSi,intermetallic,"CaAlSi 1H, 40 kbar",4.0,P-6m2 (187),nH-CaAlSi 1H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 1H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.7
lam193,CaAlSi,intermetallic,"CaAlSi 1H, P=0",0.0,P-6m2 (187),nH-CaAlSi 1H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 1H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.73
lam194,CaAlSi,intermetallic,"CaAlSi 2H, 20 kbar",2.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.47
lam195,CaAlSi,intermetallic,"CaAlSi 2H, 40 kbar",4.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.43
lam196,CaAlSi,intermetallic,"CaAlSi 2H, P=0",0.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.6
lam197,K2Cr3As3,intermetallic,(single),,P-6m2,"noncentrosymmetric quasi-1D A2T3As3 (Cr3As3 tubes), hexagonal",9.9832,9.9832,4.2304,lattice+proto,medium,repo_structure_absent;lkm_has_lambda_but_incomplete_structure,Recover exact internal coordinates before production DFPT.,3
lam198,"(Ce,La)H9",intermetallic,(single),200,P-6m2,"ordered Ce/La substitution on P6_3/mmc superhydride parent (clathrate H cage); Ce:La=1, 1x1x1 ordered cell",,,,proto-only,low,material_type_mismatch_hydride;lkm_has_lambda_but_incomplete_structure;manual_required,Move to hydride audit or recover ordered hydride cell before use.,3
lam199,C6H6,intermetallic,"benzene P2_1/c, 190 GPa, mu*=0.10",190,P2_1/c,molecular benzene crystal (monoclinic),,,,proto-only,low,material_type_mismatch_organic;lkm_has_lambda_but_incomplete_structure;manual_required,Treat outside intermetallic set; fetch molecular crystal CIF/coords if retained.,0.68
lam200,Be-Al alloy,intermetallic,Be-Al 24:976,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.427
lam201,Be-In alloy,intermetallic,Be-In 31:69,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.627
lam202,Be-Nb alloy,intermetallic,Be-Nb 23:77,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.684
lam203,Be43Bi20Pb37,intermetallic,Be43Bi20Pb37 (ternary),,,,,,,none,low,lkm_has_lambda_but_no_structure;repo_structure_absent;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,1.015
lam204,Be43Pb57,intermetallic,Be43Pb57,,,,,,,none,low,lkm_has_lambda_but_no_structure;repo_structure_absent;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.988
lam205,K2Mo3As3,intermetallic,"K2Mo3As3, mu*=0.12",,P-6m2,"noncentrosymmetric quasi-1D A2T3As3 (Mo3As3 tubes), hexagonal",10.256,10.256,4.463,lattice+proto,medium,repo_structure_absent;lkm_has_lambda_but_incomplete_structure,Recover internal coordinates before SCF generation.,1.92
lam207,CdAs,intermetallic,FCC CdAs,,Fm-3m (225),NaCl-type FCC CdAs,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.426
lam208,CdN,intermetallic,FCC CdN,,Fm-3m (225),NaCl-type FCC CdN,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.314
lam209,CdP,intermetallic,FCC CdP,,Fm-3m (225),NaCl-type FCC CdP,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.266
lam210,CuSb,intermetallic,FCC CuSb,,Fm-3m (225),NaCl-type FCC CuSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.016
lam211,HfP,intermetallic,FCC HfP,,Fm-3m (225),NaCl-type FCC HfP,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,0.67
lam212,HgSb,intermetallic,FCC HgSb,,Fm-3m (225),NaCl-type FCC HgSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,0.956
lam213,ZnSb,intermetallic,FCC ZnSb,,Fm-3m (225),NaCl-type FCC ZnSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.387
lam214,H3P,intermetallic,"Im-3m H3P, a=3.0 A (~220 GPa), mu*=0 (H-point unstable modes omitted)",220.0,Im-3m (229),Im-3m dense hydride H3P,3.0,3.0,3.0,full Im-3m hydride prototype,high,material_type_mismatch_hydride,"Keep as hydride-class target; if retained in intermetallic CSV, replace current structure with Im-3m a=3.0 A hydride cell.",1.66
lam215,H3S,intermetallic,"Im-3m H3S, a=3.0 A (~220 GPa), mu*=0",220.0,Im-3m (229),Im-3m dense hydride H3S,3.0,3.0,3.0,full Im-3m hydride prototype,high,material_type_mismatch_hydride,"Keep as hydride-class target; if retained in intermetallic CSV, replace current structure with Im-3m a=3.0 A hydride cell.",1.38
lam216,AlB2 monolayer,intermetallic,monolayer AlB2 (single Al on honeycomb B),,P6/mmm (191),monolayer AlB2 condition attached to Ca-VI paper_id,,,,candidate_only_no_lkm_support,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;manual_required,Resolve correct AlB2 paper/source; OpenLAM AlB2 is only a candidate.,1.01
lam217,H,intermetallic,"H-diamond(111) FET n=6e14 cm-2, full-BZ Wannier",,,"Hydrogenated (111) diamond surface slab in FET geometry (hexagonal surface cell); surface C in sp3 diamond network terminated by H, hole-doped n=6e14 cm-2",,,,proto-only,low,condition_material_description_inconsistent;lkm_has_lambda_but_no_structure;manual_required,Recover exact slab/vacuum/field setup from source paper before any DFPT comparison.,0.81
lam218,H,intermetallic,"H-diamond(111) FET n=6e14 cm-2, q=Gamma approx",,,"Hydrogenated (111) diamond surface slab in FET geometry (hexagonal surface cell); surface C in sp3 diamond network terminated by H, hole-doped n=6e14 cm-2",,,,proto-only,low,condition_material_description_inconsistent;lkm_has_lambda_but_no_structure;manual_required,Recover exact slab/vacuum/field setup from source paper before any DFPT comparison.,1.09
lam219,Sn3S4I,intermetallic,Sn3S4 I-43d 30 GPa,30,I-43d,body-centered cubic Sn3S4 (no named prototype),,,,proto-only,medium,repo_current_formula_mismatch:Sn3S4I->Sn3S4;lkm_has_lambda_but_incomplete_structure;repo_structure_absent,Recover I-43d lattice/coords and correct the formula before building.,1.2
lam221,BaC6,intermetallic,BaC6 0 GPa,0.0,,alkaline-earth graphite intercalation compound AC6,4.302,4.302,5.25,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.38
lam222,BaC6,intermetallic,BaC6 8 GPa,8.0,,alkaline-earth graphite intercalation compound AC6,4.287,4.287,4.925,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.45
lam223,CaC6,intermetallic,CaC6 0 GPa,0.0,R-3m (166),alkaline-earth graphite intercalation compound AC6,4.333,4.333,4.524,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.83
lam224,CaC6,intermetallic,CaC6 5 GPa,5.0,R-3m (166),alkaline-earth graphite intercalation compound AC6,4.317,4.317,4.349,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.845
lam225,SrC6,intermetallic,SrC6 0 GPa,0.0,,alkaline-earth graphite intercalation compound AC6,4.315,4.315,4.95,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.54
lam226,SrC6,intermetallic,SrC6 8 GPa,8.0,,alkaline-earth graphite intercalation compound AC6,4.295,4.295,4.75,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.65
